ID;NOMBRE DEL CASO;INSTRUMENTO NORMATIVO;TIPO DE COMPROMISO;DESCRIPCIÓN DEL COMPROMISO;UNIDAD TERRITORIAL;REGIÓN;PROVINCIA;DISTRITO(S);ESTADO ACTUAL DEL COMPROMISO;RESPONSABLE;NIVEL DE GOBIERNO RESPONSABLE FINAL;LONGITUD;LATITUD
109;34 FAMILIAS DE CERRO DE PASCO;;ACTIVIDAD;EJE VIVIENDA: EL MINISTERIO DE VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO GESTIONARÁ LA IDENTIFICACIÓN DE ALTERNATIVAS DE VIVIENDAS, EN CONJUNTO CON LA POBLACIÓN.;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR ;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-76.3164;-10.6892
110;34 FAMILIAS DE CERRO DE PASCO;;ACTIVIDAD;EJE SALUD: EL MINSA CONTINUARÁ CON EL TRATAMIENTO MÉDICO A FAVOR DE LOS MENORES, PONIENDO ÉNFASIS EN UNA ATENCIÓN INDIVIDUAL Y PERSONALIZADA, INCLUSO INTERNACIONAL, DE ACUERDO A LOS DIAGNÓSTICOS MÉDICOS QUE SE EMITAN Y EL PROCEDIMIENTO QUE DEBAN APLICARSE.;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR ;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-76.3164;-10.6892
111;34 FAMILIAS DE CERRO DE PASCO;;ACTIVIDAD;EJE EDUCACIÓN: BRINDAR ACOMPAÑAMIENTO Y ASISTENCIA TÉCNICA A LOS PADRES DE FAMILIA PARA LA OBTENCIÓN DE BECAS POR PRONABEC U OTROS, ACCIONES PREVENTIVAS PARA EL PREVENIR EL BULLYING Y TRASLADO FÍSICO TEMPORAL POR TEMAS DE TRATAMIENTO MÉDICO U OTROS;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR ;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-76.3164;-10.6892
112;34 FAMILIAS DE CERRO DE PASCO;;ACTIVIDAD;EJE TRABAJO: EVALUAR, DE ACUERDO AL MARCO NORMATIVO VIGENTE SOBRE LA MATERIA, LA POSIBILIDAD DE INCORPORARLOS EN ALGUNO DE LOS PROGRAMAS LABORALES DEL VICEMINISTERIO DE PROMOCIÓN DEL EMPLEO (JÓVENES PRODUCTIVOS, IMPULSA PERÚ Y TRABAJA PERÚ).;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR ;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO NACIONAL;-76.3164;-10.6892
113;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;"CUI: 2285648  MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN, PRIMARIA EN LA I.E. 32411 DE LA LOCALIDAD DE PAMPAS DE FLORES, DEL DISTRITO DE MIRAFLORES, PROVINCIA DE HUAMALÍES.
 ";UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MTC;GOBIERNO NACIONAL;-76.8186;-9.54972
114;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2289128 MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN PRIMARIA DE LA I.E. N° 3239 CENTRO POBLADO SAN CRISTÓBAL, DISTRITO DE LLATA, PROVINCIA DE HUAMALÍES, REGIÓN HUÁNUCO. ;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MTC;GOBIERNO NACIONAL;-76.8186;-9.54972
115;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2188331 RECUPERACIÓN DE SERVICIO EDUCATIVO DE LA I.E. UNITARIA N° 32432 DEL CASERÍO DE MORCA, DISTRITO DE LLATA, PROVINCIA DE HUAMALÍES, REGIÓN HUÁNUCO. ;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MTC;GOBIERNO NACIONAL;-76.8186;-9.54972
116;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2173395 MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN PRIMARIA EN LA INSTITUCIÓN EDUCATIVA N 32431 DEL CENTRO POBLADO DE SAN MIGUEL DE QUEROSH, DISTRITO DE LLATA, PROVINCIA DE HUAMALIES - HUÁNUCO.;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MINEM;GOBIERNO NACIONAL;-76.8186;-9.54972
117;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2173388 MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN PRIMARIA DE LA I.E. N 32390 EN LA LOCALIDAD DE PROGRESO, DISTRITO DE LLATA, PROVINCIA DE HUAMALIES - HUÁNUCO.;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MINEM;GOBIERNO NACIONAL;-76.8186;-9.54972
118;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2173391 MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN PRIMARIA DE LA I.E. N 32720 EN LA LOCALIDAD DE MUCHCAY, DISTRITO DE LLATA, PROVINCIA DE HUAMALIES-REGIÓN HUÁNUCO;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MTPE;GOBIERNO NACIONAL;-76.8186;-9.54972
119;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2289624 AMPLIACIÓN Y MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA INSTITUCIÓN EDUCATIVA N 32780 DE LA LOCALIDAD DE JIRCACANCHA, DISTRITO DE LLATA, PROVINCIA DE HUAMALIES - HUÁNUCO.;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MD SIMÓN BOLIVAR;GOBIERNO NACIONAL;-76.8186;-9.54972
120;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;CUI: 2246282 AMPLIACIÓN DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. JOSÉ CARLOS MARIÁTEGUI EL AMAUTA DEL CENTRO POBLADO DE LIBERTAD DISTRITO DE LLATA, PROVINCIA DE HUAMALIES - HUÁNUCO.;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;GORE PASCO;GOBIERNO NACIONAL;-76.8186;-9.54972
121;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;MTC-PVD: CUI 2449990: TRAMO 1 MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL EMP. PE14A (CARPA) - TANTAMAYO - CHAVÍN DE PARIARCA - PARIARCA - QUEROPATA - SAN ANTANONIO - VISTA ALEGRE - EMP. HU-697 (PTE. CULQUISH), EN LOS DISTRITOS DE JACAS GRANDE, CHAVÍN DE PARIARCA Y TANTAMAYO DE LA PROVICNIA DE HUAMALIES - DEPARTAMENTO DE HUÁNUCO. ;UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.8186;-9.54972
122;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;"MTC - PVD CUI 2457729: TRAMO 2 MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL EMP. PE-3N (PACHAS) - ISMO CRUZ - LLATA - PUÑOS - MIRAFLORES - PUNCHAO - PALLALLI - SINGA, DISTRITO DE PACHAS - PROVINCIA DE DOS DE MAYO - DEPARTAMENTO DE HUÁNUCO.

MEJORAMIENTO DE LAS VÍAS DE INTEGRACIÓN DE LA MARGEN DERECHA E IZQUIERDA DEL RÍO MARAÑON";UT CENTRO;HUÁNUCO;"HUAMALIES 
DOS DE MAYO";LLATA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.8186;-9.54972
123;MESA DE DIÁLOGO PARA EL DESARROLLO DEL DISTRITO DE LLATA;;PIP;"MTC-PVN 
REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA EMP RUTA AN 111 - HUAMANIN - PROGRESO - POQUE - LLATA - COCHAPATA (TUNEL TAYTAMAYO) - NUEVAS FLORES - QUIVILLA - TINGO CHICO";UT CENTRO;HUÁNUCO;HUAMALIES ;LLATA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.8186;-9.54972
124;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;"HOSPITAL DE TINYAHUARCO. EL HOSPITAL A IMPLEMENTARSE EN EL DISTRITO DE TINYAHUARCO (LOCALIDAD DE VILLA DE PASCO) CUENTA CON UN PERFÍL CULMINADO Y LA FACTIBILIDAD SERÁ DECLARADA VIABLE EN 30 DÍAS, LUEGO DE LO CUAL SE CONVOCARÁ A UN CONCURSO PARA IDENTIFICAR AL RESPONSABLE DE LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO Y POSTERIORMENTE FINANCIARÁ EL PROYECTO PROYECTO “MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL II PASCO DE LA RED ASISTENCIAL PASCO EN EL DISTRITO DE TINYAHUARCO, PROVINCIA DE PASCO, DEPARTAMENTO DE PASCO. 
SNIP 261057
CUI 2268036";UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.3164;-10.6892
125;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;"CUI 2166267-SNIP 241496 
INSTALACIÓN DEL SERVICIO DE AGUA PARA EL SISTEMA DE RIEGO PAMPACANCHA EN LA LOCALIDAD PAMPACANCHA, DISTRITO DE SIMÓN BOLIVAR-PASCO ";UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;EMPRESA MINERA CHINALCO PERÚ S.A.;GOBIERNO LOCAL;-76.3164;-10.6892
126;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;"CUI: 2166276
SNIP 228898 
INSTALACION Y REPRESAMIENTO DE LA LAGUNA ESTANCO Y SISTEMA DE RIEGO POR ASPERSION EN LAS COMUNIDADES CAMPESINA DE SAN PEDRO DE RACCO - QUIULACOCHA, DISTRITO DE SIMON BOLIVAR - PASCO - PASCO";UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;GORE AYACUCHO;GOBIERNO REGIONAL;-76.3164;-10.6892
127;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2602701 IE 13 DE AGOSTO;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;GORE AYACUCHO;GOBIERNO LOCAL;-76.3164;-10.6892
128;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2317580 IE 13 DE MAYO;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;PCM;GOBIERNO LOCAL;-76.3164;-10.6892
129;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2506307 SAN ANDRES;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;GORE CUSCO;GOBIERNO LOCAL;-76.3164;-10.6892
130;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;"CUI 2300218  MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE I.E.  DE NIVEL SECUNDARIA SIMÓN BOLÍVAR DE LA C.C. SAN ANTONIO DE RANCAS
";UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;MVCS;GOBIERNO LOCAL;-76.3164;-10.6892
131;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2412246 - SANTA ANA DE POCAYÁN - PRESUPUESTO A MARZO 2021 DE S/. 3 691, 570.54 - SE ENCUENTRA EN ETAPA DE PREINVERSIÓN.;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-76.3164;-10.6892
132;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2494218 - QUIULACOCHA: PRESUPESTO A MARZO 2021 DE S/7, 591.828.9, CUENTA CON FICHA TÉCNICA ESTANDER VIABLE (EN EL AÑO 2016 EL PROYECTO TENIA UN PRESUPUESTO DE  S/.1,263,377.00);UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-76.3164;-10.6892
133;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2522539 - YURAJHUANCA -  PRESUPUESTO POR DEFINIR, A MARZO 2021 EL PROYECTO SE ENCUENTRA EN ETAPA DE PREINVERSIÓN Y CON FICHA ESTANDAR EN ELABORACIÓN.  ;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-76.3164;-10.6892
134;MESA DE DIALOGO PARA EL DESARROLLO DE SIMÓN BOLIVAR;;PIP;CUI 2537907 - SACRA FAMILIA -   PRESUPUESTO POR DEFINIR. A MARZO 2021 EL PROYECTO SE ENCUENTRA EN ETAPA DE PREINVERSIÓN Y CON FICHA ESTANDAR EN ELABORACIÓN. ;UT CENTRO;PASCO;PASCO;SIMÓN BOLIVAR;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.3164;-10.6892
135;MESA DE DIÁLOGO DEL DISTRITO DE CHALLHUAHUACHO -DECRETO SUPREMO N° 005-2016-PCM.;;PIP;AMBULANCIA MINSA SE COMPROMETE A BRINDAR ASISTENCIA TÉCNICA A LA MUNICIPALIDAD DE CHALLHUAHUACHO PARA LA ELABORACIÓN DE UN IOARR PARA LA ADQUISICIÓN DE UNA AMBULANCIA.;UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;ABIERTO - EN PROCESO;MVCS;GOBIERNO REGIONAL;-72.2464;-14.1186
136;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;GESTIÓN DEL FINANCIAMIENTO DEL PROYECTO DE CUI 2464268;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;PALLPATA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-71.21;-14.8903
137;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2464274;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;PALLPATA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-71.21;-14.8903
138;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;GESTIÓN DEL FINANCIAMIENTO DEL PROYECTO DE CUI 2261295;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;SUYCKUTAMBO;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-71.6433;-15.0086
139;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2237080;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;SUYCKUTAMBO;ABIERTO - EN PROCESO;MINEDU;GOBIERNO NACIONAL;-71.6433;-15.0086
140;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2237076;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;SUYCKUTAMBO;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-71.6433;-15.0086
141;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2378840;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;PICHIGUA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-71.4064;-14.6781
142;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2191293;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;ESPINAR;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-71.4133;-14.7931
143;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2331045;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;ESPINAR;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO NACIONAL;-71.4133;-14.7931
144;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2314037;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;OCORURO;ABIERTO - EN PROCESO;GORE CUSCO;GOBIERNO NACIONAL;-71.1292;-15.0519
145;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2249921;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;PICHIGUA;ABIERTO - EN PROCESO;GORE CUSCO;GOBIERNO NACIONAL;-71.4064;-14.6781
146;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2195484;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;SUYCKUTAMBO;ABIERTO - EN PROCESO;MINEM;GOBIERNO REGIONAL;-71.6433;-15.0086
147;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2282476;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;ESPINAR;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO NACIONAL;-71.4133;-14.7931
148;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2320709;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;CONDOROMA;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO NACIONAL;-71.1383;-15.3006
149;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2690941;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;COPORAQUE;ABIERTO - EN PROCESO;GORE CUSCO;GOBIERNO NACIONAL;-71.6461;-15.6272
150;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;ASISTENCIA TÉCNICA Y EVALUACIÓN PRIORITARIA DEL PROYECTO DE CUI 2482961;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;OCORURO;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO NACIONAL;-71.1292;-15.0519
151;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2234213;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;PICHIGUA;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO LOCAL;-71.4064;-14.6781
152;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2335179;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;ESPINAR;ABIERTO - EN PROCESO;GORE CUSCO;GOBIERNO NACIONAL;-71.4133;-14.7931
153;MESA DE DIÁLOGO DE LA PROVINCIA DE ESPINAR.;RESOLUCIÓN MINISTERIAL N.° 229-2022-PCM // RESOLUCIÓN MINISTERIAL N.° 197-2026-PCM;PIP;FORMULACIÓN Y EJECUCIÓN DEL PROYECTO DE CUI 2027711;UT CORREDOR VIAL SUR;CUSCO;ESPINAR;ESPINAR;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-71.4133;-14.7931
154;GRUPO DE TRABAJO PARA LA PROVINCIA DE COTABAMBAS Y DISTRITO DEL PROGRESO - GRAU. ;RESOLUCIÓN MINISTERIAL N.° 264-2021-PCM;PIP;"CREACION DEL SERVICIO DE AGUA PARA SISTEMA DE RIEGO REPRESA PAMPACCASA EN 6 LOCALIDADES DEL DISTRITO DE COTABAMBAS - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC
ORIGINAL: CREACION DEL SERVICIO DE AGUA PARA SISTEMA DE RIEGO REPRESA PAMPACCASA EN 6 LOCALIDADES DEL DISTRITO DE COTABAMBAS - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC";UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;COTABAMBAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-72.355;-13.7456
155;GRUPO DE TRABAJO PARA LA PROVINCIA DE COTABAMBAS Y DISTRITO DEL PROGRESO - GRAU. ;RESOLUCIÓN MINISTERIAL N.° 264-2021-PCM;PIP;CREACIÓN DEL SERVICIO DE AGUA PARA EL SISTEMA DE RIEGO PRESA COSANA, EN 16 CENTROS POBLADOS DEL DISTRITO DE HAQUIRA, PROVINCIA DE COTABAMBAS, DEPARTAMENTO APURÍMAC;UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;HAQUIRA   ;ABIERTO - EN PROCESO;MINSA;GOBIERNO NACIONAL;-72.1889;-14.2142
156;MESA DE DIÁLOGO DEL DISTRITO DE CHALLHUAHUACHO -DECRETO SUPREMO N° 005-2016-PCM.;;PIP;CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE ALLILLUMA - DISTRITO DE CHALLHUAHUACHO - PROVINCIA DE COTABAMBAS - REGIÓN APURIMAC;UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;ABIERTO - EN PROCESO;MTC;GOBIERNO LOCAL;-72.2464;-14.1186
157;MESA DE DIÁLOGO DEL DISTRITO DE CHALLHUAHUACHO -DECRETO SUPREMO N° 005-2016-PCM.;;PIP;"2100264 CONSTRUCCION PUESTO DE SALUD EN LA COMUNIDAD DE KUCHUHUACHO, DISTRITO DE CHALLHUAHUACHO - COTABAMBAS - APURIMAC
NOMBRE DE LA VIABILIDAD: MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA DEL ESTABLECIMIENTO DE SALUD DE TIPO I-1 DE CUCHUHUACHO DEL DISTRITO DE CHALLHUAHUACHO - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC";UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;ABIERTO - EN PROCESO;MIDAGRI;GOBIERNO NACIONAL;-72.2464;-14.1186
158;MESA DE DIÁLOGO DEL DISTRITO DE CHALLHUAHUACHO -DECRETO SUPREMO N° 005-2016-PCM.;;PIP;MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL PUESTO DE SALUD MINASCUCHO MICRO RED DE TAMBOBAMBA, DISTRITO DE CHALLHUAHUACHO - COTABAMBAS - APURIMAC;UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;ABIERTO - EN PROCESO;MINEM;GOBIERNO NACIONAL;-72.2464;-14.1186
159;MESA DE DIÁLOGO DEL DISTRITO DE CHALLHUAHUACHO -DECRETO SUPREMO N° 005-2016-PCM.;;PIP;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA COMUNIDAD DE CCASA, DISTRITO DE CHALLHUAHUACHO - COTABAMBAS - APURIMAC ;UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;ABIERTO - EN PROCESO;MINEM;GOBIERNO LOCAL;-72.2464;-14.1186
160;MESA DE DIÁLOGO DEL DISTRITO DE CHALLHUAHUACHO -DECRETO SUPREMO N° 005-2016-PCM.;;PIP;"3 PUENTES - PVD
CONSTRUCCIÓN DE PUENTE DE CARRETERA; EN EL(LA) RUTA AP-956: PUENTE CCARHUAPIRHUA II Y ACCESOS EN LA LOCALIDAD CHALLA CHALLA, DISTRITO DE CHALLHUAHUACHO, PROVINCIA COTABAMBAS, DEPARTAMENTO APURIMAC
ORIGINAL: CONSTRUCCION DE PUENTE CCAHUAPIRHUA (S/. 15,000,000)";UT CORREDOR VIAL SUR;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-72.2464;-14.1186
